Name,Energy
Version,2.0.0
Author,Austin Cory Bart <acbart@vt.edu>
Created,11/1/2015
Data File,energy-corgis.csv
Overview,"United States Government reports on consumption, production, import, and export of various fuel sources."
Data Source,http://www.eia.gov/tools/faqs/
Description,"United States Government reports on consumption, production, expenditures, and prices of various fuel sources. This data comes from the US Energy Information Administration, which has historical data from 1960 to 2014. Information was not always available, in which case 0 was reported instead. In some cases, very tiny values were rounded down to zero.
"
Tags,"energy, renewable, united states, us, nuclear, fossil fuels, power"
Row,report
Row Explanation,$MISSING_FIELD
Acknowledgement,
Icon,energy-icon.png
Splash,energy-splash.png
Properties,Name,Type,Index,Description
,State,string,True,The state that this report was made for.
,Year,int,True,The year that this report was made.
,Production.Coal,float,,"Coal production in billion BTU. Unfortunately, the other energy sources produced by the United States (including Natural Gas and Petroleum) could not be incorporated."
,Consumption.Commercial.Coal,float,,Coal consumed by the commercial sector in billion BTU.
,Consumption.Commercial.Distillate Fuel Oil,float,,Distillate fuel oil consumed by the commercial sector in billion BTU.
,Consumption.Commercial.Geothermal,float,,Geothermal energy consumed by the commercial sector in billion BTU.
,Consumption.Commercial.Hydropower,float,,Hydropower consumed by the commercial sector in billion BTU.
,Consumption.Commercial.Kerosene,float,,Kerosene consumed by the commercial sector in billion BTU.
,Consumption.Commercial.Liquefied Petroleum Gases,float,,LPG consumed by the commercial sector in billion BTU.
,Consumption.Commercial.Natural Gas,float,,Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels) in billion BTU.
,Consumption.Commercial.Solar,float,,Photovoltaic and solar thermal energy consumed by the commercial sector (except portion included in SOHCB) in billion BTU.
,Consumption.Commercial.Wind,float,,Wind energy consumed by the commercial sector in billion BTU.
,Consumption.Commercial.Wood,float,,Wood consumed by the commercial sector in billion BTU.
,Consumption.Electric Power.Coal,float,,Coal consumed by the electric power sector in billion BTU.
,Consumption.Electric Power.Distillate Fuel Oil,float,,Distillate fuel oil consumed by the electrical power sector in billion BTU.
,Consumption.Electric Power.Natural Gas,float,,Natural gas consumed by the electric power sector (including supplemental gaseous fuels) in billion BTU.
,Consumption.Electric Power.Wood,float,,Wood and waste consumed by the electric power sector in billion BTU.
,Consumption.Industrial.Coal,float,,Coal consumed by the industrial sector in billion BTU.
,Consumption.Industrial.Distillate Fuel Oil,float,,Distillate fuel oil consumed by the industrial sector in billion BTU.
,Consumption.Industrial.Geothermal,float,,Geothermal energy consumed by the industrial sector in billion BTU.
,Consumption.Industrial.Hydropower,float,,Hydropower consumed by the industrial sector in billion BTU.
,Consumption.Industrial.Kerosene,float,,Kerosene consumed by the industrial sector in billion BTU.
,Consumption.Industrial.Liquefied Petroleum Gases,float,,LPG consumed by the industrial sector in billion BTU.
,Consumption.Industrial.Natural Gas,float,,Natural gas consumed by (delivered to) the industrial sector (including supplemental gaseous fuels) in billion BTU.
